derived_split	source_split	source	upstream_split	source_image	image	label	relative_image_path	relative_label_path	width	height	instances	scene_key	canonical_asset	image_sha256	label_sha256	coco_image_id	included_in_test_scene_unique	test_scene_unique_coco_image_id
train_clean	train	local_test_images_20260707	manual_labelme	test_images/微信图片_20260707154823_7_2.jpg	local_test_images_20260707_0001.jpg	local_test_images_20260707_0001.txt	images/train/local_test_images_20260707_0001.jpg	labels/train/local_test_images_20260707_0001.txt	1280	1707	11	local_test_images_20260707::local_test_images_20260707_0001	local_test_images_20260707_0001	365a54cde395f3b49a4ca8df4e74d3af6eae1701e0105f9b9672df91cedb223f	3f70ff978d436f4b1f20c5644ab6c888982ea466fd9ca1592bd0c5e6f6e52875	1	false	
train_clean	train	local_test_images_20260707	manual_labelme	test_images/微信图片_20260707154824_8_2.jpg	local_test_images_20260707_0002.jpg	local_test_images_20260707_0002.txt	images/train/local_test_images_20260707_0002.jpg	labels/train/local_test_images_20260707_0002.txt	960	1280	9	local_test_images_20260707::local_test_images_20260707_0002	local_test_images_20260707_0002	7a466b5ed0e0af2af9597e92770936d7359038c12410389d3ce59ab1c3556451	93f41b240c65e8e6897b464167042c0845eea2c45cc0d869217f31d35a5a4020	2	false	
train_clean	train	local_test_images_20260707	manual_labelme	test_images/微信图片_20260707154824_9_2.jpg	local_test_images_20260707_0003.jpg	local_test_images_20260707_0003.txt	images/train/local_test_images_20260707_0003.jpg	labels/train/local_test_images_20260707_0003.txt	1280	1707	12	local_test_images_20260707::local_test_images_20260707_0003	local_test_images_20260707_0003	f5e4fdee6749793e95f66012840d0d8b78bce8b160d294df4d1d1a575ae85e17	bc588dfeaf5b8b3484b3eea36f4d8a8852dd8ac379d9537ae30da1e65b48e772	3	false	
train_clean	train	local_test_images_20260707	manual_labelme	test_images/微信图片_20260707154825_10_2.jpg	local_test_images_20260707_0004.jpg	local_test_images_20260707_0004.txt	images/train/local_test_images_20260707_0004.jpg	labels/train/local_test_images_20260707_0004.txt	1280	1707	10	local_test_images_20260707::local_test_images_20260707_0004	local_test_images_20260707_0004	bdc5bdefb7faca18d7bed1878c742df6d2441b7afc2981994d2729b4e77bdbf0	de73b4403ca3dad47f96e3174a924cd9f85384882db3454a05f6225263b7f011	4	false	
train_clean	train	local_test_images_20260707	manual_labelme	test_images/微信图片_20260707154827_11_2.jpg	local_test_images_20260707_0005.jpg	local_test_images_20260707_0005.txt	images/train/local_test_images_20260707_0005.jpg	labels/train/local_test_images_20260707_0005.txt	1280	1707	11	local_test_images_20260707::local_test_images_20260707_0005	local_test_images_20260707_0005	380e8c2cfa852c0c07a138fbcbaccd75f5744bf624051a82457006a3f8927919	00a1505247ce501398fa80fc7096f54af0c6fd28595785d7f519fc1968d3542d	5	false	
train_clean	train	local_test_images_20260707	manual_labelme	test_images/微信图片_20260707154829_12_2.jpg	local_test_images_20260707_0006.jpg	local_test_images_20260707_0006.txt	images/train/local_test_images_20260707_0006.jpg	labels/train/local_test_images_20260707_0006.txt	1024	1366	9	local_test_images_20260707::local_test_images_20260707_0006	local_test_images_20260707_0006	9fc048b83181aede1bed5109f3d1aa9ff5ed2231d9f962d37ac82ea555fe912b	be771b93355f2e70410eca15a22503aa1e6182c09ee4e6d9011835ec37a18468	6	false	
train_clean	train	local_test_images_20260707	manual_labelme	test_images/微信图片_20260707154832_14_2.jpg	local_test_images_20260707_0008.jpg	local_test_images_20260707_0008.txt	images/train/local_test_images_20260707_0008.jpg	labels/train/local_test_images_20260707_0008.txt	1707	1280	13	local_test_images_20260707::local_test_images_20260707_0008	local_test_images_20260707_0008	bc27d0772fbee2673bbcb52756961ccd3306d0d8cb4bffbad3da55390a435115	cbf03688ad7965c4057b0e349317b55b6617598edc116638013976f22a218c93	7	false	
train_clean	train	local_test_images_20260707	manual_labelme	test_images/微信图片_20260707154834_15_2.jpg	local_test_images_20260707_0009.jpg	local_test_images_20260707_0009.txt	images/train/local_test_images_20260707_0009.jpg	labels/train/local_test_images_20260707_0009.txt	1707	1280	14	local_test_images_20260707::local_test_images_20260707_0009	local_test_images_20260707_0009	b13d323d17b5547de86736de92137cc8561e6aee6cbc366d2b5b415b2da7fc45	2e97e2c6fad11fb289cce1b77fe06df8569595b22c5d911075c8f38a6ade1f76	8	false	
train_clean	train	my_labelme	manual	raw\color_000007.png	my_labelme_color_000007.png	my_labelme_color_000007.txt	images/train/my_labelme_color_000007.png	labels/train/my_labelme_color_000007.txt	1280	800	10	my_labelme::my_labelme_color_000007	my_labelme_color_000007	903a551d4238944d71539e0c9da8e9458f4c57fd862bb21e2a322b27d99c8d4b	23637c770fc7a98423056c36769559e1b576700ad5be5861710e992c4d9facc7	9	false	
train_clean	train	my_labelme	manual	raw\color_000008.png	my_labelme_color_000008.png	my_labelme_color_000008.txt	images/train/my_labelme_color_000008.png	labels/train/my_labelme_color_000008.txt	1280	800	10	my_labelme::my_labelme_color_000008	my_labelme_color_000008	b8fd3a23ddddd9f7d89f38b2b307716c6e0477aed4552e39e509b3ef5226a2e8	23637c770fc7a98423056c36769559e1b576700ad5be5861710e992c4d9facc7	10	false	
