scope	source_split	source	source_image	image	label	instances	scene_key	image_sha256	reason	conflicts_with	representative
base_dataset	train	roboflow_drago_v1	Watermelon Detector.v1i.coco-segmentation\train\100_jpg.rf.7ba4408734835163cffc263e485a34fc.jpg	roboflow_drago_v1_100_jpg.rf.7ba4408734835163cffc263e485a34fc.jpg	roboflow_drago_v1_100_jpg.rf.7ba4408734835163cffc263e485a34fc.txt	1	roboflow_drago_v1::roboflow_drago_v1_100_jpg	0f7219bdef1898cd2b75786910efcaa5a9f53c534efa58da5fe9b0350d2355cc	protected_test_scene_and_sha256	test	
base_dataset	train	roboflow_drago_v1	Watermelon Detector.v1i.coco-segmentation\train\100_jpg.rf.a9b8f5ea358e7091996b75a38e3eae49.jpg	roboflow_drago_v1_100_jpg.rf.a9b8f5ea358e7091996b75a38e3eae49.jpg	roboflow_drago_v1_100_jpg.rf.a9b8f5ea358e7091996b75a38e3eae49.txt	1	roboflow_drago_v1::roboflow_drago_v1_100_jpg	72e883e023e01248e20322b09c28b2f2d6af4ade912f0b1f491c2bbcd075d3fc	protected_test_scene	test	
base_dataset	train	roboflow_drago_v1	Watermelon Detector.v1i.coco-segmentation\train\118_jpg.rf.529c0550299427dc934a6379778b963c.jpg	roboflow_drago_v1_118_jpg.rf.529c0550299427dc934a6379778b963c.jpg	roboflow_drago_v1_118_jpg.rf.529c0550299427dc934a6379778b963c.txt	1	roboflow_drago_v1::roboflow_drago_v1_118_jpg	b751eda89adf552ec1c5ea006834aa99c6564287ee40e119dffe20e8a1be867e	exact_duplicate_within_train	train_clean	roboflow_drago_v1_118_jpg.rf.2ab1a59ccfa374697ff4683a8a7b9b27.jpg
base_dataset	train	roboflow_drago_v1	Watermelon Detector.v1i.coco-segmentation\train\127_jpg.rf.622bcfc16e4d15b4f3b64207182996c5.jpg	roboflow_drago_v1_127_jpg.rf.622bcfc16e4d15b4f3b64207182996c5.jpg	roboflow_drago_v1_127_jpg.rf.622bcfc16e4d15b4f3b64207182996c5.txt	2	roboflow_drago_v1::roboflow_drago_v1_127_jpg	45c0df955566db630a7ed1108658cd5a3e3e287db54f8dfd31d52fb1d6613b9d	protected_test_scene_and_sha256	test	
base_dataset	train	roboflow_drago_v1	Watermelon Detector.v1i.coco-segmentation\train\127_jpg.rf.8fee911f3d6254a0809ddba4359de092.jpg	roboflow_drago_v1_127_jpg.rf.8fee911f3d6254a0809ddba4359de092.jpg	roboflow_drago_v1_127_jpg.rf.8fee911f3d6254a0809ddba4359de092.txt	2	roboflow_drago_v1::roboflow_drago_v1_127_jpg	bbe7d00072e495ba80dedd1c7de78d6352abf08d4da3c577e862e77e55b4b4bd	protected_test_scene	test	
base_dataset	train	roboflow_drago_v1	Watermelon Detector.v1i.coco-segmentation\train\136_jpg.rf.b1fabeb5f384848e79cb20c77d5ddf63.jpg	roboflow_drago_v1_136_jpg.rf.b1fabeb5f384848e79cb20c77d5ddf63.jpg	roboflow_drago_v1_136_jpg.rf.b1fabeb5f384848e79cb20c77d5ddf63.txt	1	roboflow_drago_v1::roboflow_drago_v1_136_jpg	93fc8c884bdad1c61f586e621cacb8ebf4cabc60c9aa4d7542239566be869be3	exact_duplicate_within_train	train_clean	roboflow_drago_v1_136_jpg.rf.2fd1d3fa57e17ddc58b2cb0da14eeb0e.jpg
base_dataset	train	roboflow_drago_v1	Watermelon Detector.v1i.coco-segmentation\train\137_jpg.rf.e7ed4d919c58c117dea961e060e61e96.jpg	roboflow_drago_v1_137_jpg.rf.e7ed4d919c58c117dea961e060e61e96.jpg	roboflow_drago_v1_137_jpg.rf.e7ed4d919c58c117dea961e060e61e96.txt	1	roboflow_drago_v1::roboflow_drago_v1_137_jpg	7fe4c1a8714e9932c745802167b1f1603283df2e0a07d642d0bec4fd2b91d0d3	exact_duplicate_within_train	train_clean	roboflow_drago_v1_137_jpg.rf.620c81a7e016943b86a4c039c9baf91b.jpg
base_dataset	train	roboflow_drago_v1	Watermelon Detector.v1i.coco-segmentation\train\139_jpg.rf.91fbd649c608ba9b318bdf895263be97.jpg	roboflow_drago_v1_139_jpg.rf.91fbd649c608ba9b318bdf895263be97.jpg	roboflow_drago_v1_139_jpg.rf.91fbd649c608ba9b318bdf895263be97.txt	1	roboflow_drago_v1::roboflow_drago_v1_139_jpg	3197e9107444463ea563f56ed7539a3698b0be7f9cf8310f0414f2f353bdbfc2	clean_val_scene	val_clean	
base_dataset	train	roboflow_drago_v1	Watermelon Detector.v1i.coco-segmentation\train\145_jpg.rf.70c1051a256ae9316b0e47cfe19a7e28.jpg	roboflow_drago_v1_145_jpg.rf.70c1051a256ae9316b0e47cfe19a7e28.jpg	roboflow_drago_v1_145_jpg.rf.70c1051a256ae9316b0e47cfe19a7e28.txt	1	roboflow_drago_v1::roboflow_drago_v1_145_jpg	dff4b45f738cec86da8af30206ccbcb76165120dbb247e0cf73107273c4a7154	exact_duplicate_within_train	train_clean	roboflow_drago_v1_145_jpg.rf.6765900d5306683d3c6c5fd01278efdc.jpg
base_dataset	train	roboflow_drago_v1	Watermelon Detector.v1i.coco-segmentation\train\154_jpg.rf.061028fde096052bfc715b4a3f4ee739.jpg	roboflow_drago_v1_154_jpg.rf.061028fde096052bfc715b4a3f4ee739.jpg	roboflow_drago_v1_154_jpg.rf.061028fde096052bfc715b4a3f4ee739.txt	1	roboflow_drago_v1::roboflow_drago_v1_154_jpg	f17ac35ff2494699b34a6d2126197c6ce026cb95b27ba7bf482f730f56f403c9	protected_test_scene	test	
